startDate,endDate,value
2023-06-10 08:00:38 +0000,2023-06-10 08:00:38 +0000,71
2023-06-10 08:00:43 +0000,2023-06-10 08:00:43 +0000,71
2023-06-10 08:00:48 +0000,2023-06-10 08:00:48 +0000,71
2023-06-10 08:00:52 +0000,2023-06-10 08:00:52 +0000,72
2023-06-10 08:00:55 +0000,2023-06-10 08:00:55 +0000,75
2023-06-10 08:01:04 +0000,2023-06-10 08:01:04 +0000,89
2023-06-10 08:01:08 +0000,2023-06-10 08:01:08 +0000,91
2023-06-10 08:01:14 +0000,2023-06-10 08:01:14 +0000,85
2023-06-10 08:01:18 +0000,2023-06-10 08:01:18 +0000,85
2023-06-10 08:01:20 +0000,2023-06-10 08:01:20 +0000,84
2023-06-10 08:01:29 +0000,2023-06-10 08:01:29 +0000,82
2023-06-10 08:01:30 +0000,2023-06-10 08:01:30 +0000,82
2023-06-10 08:01:38 +0000,2023-06-10 08:01:38 +0000,87
2023-06-10 08:01:44 +0000,2023-06-10 08:01:44 +0000,85
2023-06-10 08:01:46 +0000,2023-06-10 08:01:46 +0000,85
2023-06-10 08:01:50 +0000,2023-06-10 08:01:50 +0000,83
2023-06-10 08:01:56 +0000,2023-06-10 08:01:56 +0000,80
2023-06-10 08:02:04 +0000,2023-06-10 08:02:04 +0000,71
2023-06-10 08:02:09 +0000,2023-06-10 08:02:09 +0000,76
2023-06-10 08:02:14 +0000,2023-06-10 08:02:14 +0000,77
2023-06-10 08:02:17 +0000,2023-06-10 08:02:17 +0000,77
2023-06-10 08:02:20 +0000,2023-06-10 08:02:20 +0000,74
2023-06-10 08:02:29 +0000,2023-06-10 08:02:29 +0000,78
2023-06-10 08:02:30 +0000,2023-06-10 08:02:30 +0000,78
2023-06-10 08:02:38 +0000,2023-06-10 08:02:38 +0000,75
2023-06-10 08:02:40 +0000,2023-06-10 08:02:40 +0000,78
2023-06-10 08:02:49 +0000,2023-06-10 08:02:49 +0000,71
2023-06-10 08:02:51 +0000,2023-06-10 08:02:51 +0000,72
2023-06-10 08:03:26 +0000,2023-06-10 08:03:26 +0000,70
2023-06-10 08:04:54 +0000,2023-06-10 08:04:54 +0000,77
2023-06-10 08:07:31 +0000,2023-06-10 08:07:31 +0000,94
2023-06-10 08:10:28 +0000,2023-06-10 08:10:28 +0000,109
2023-06-10 08:12:02 +0000,2023-06-10 08:12:02 +0000,75
2023-06-10 08:17:53 +0000,2023-06-10 08:17:53 +0000,71
2023-06-10 08:20:56 +0000,2023-06-10 08:20:56 +0000,70
2023-06-10 08:24:12 +0000,2023-06-10 08:24:12 +0000,67.776725769043
2023-06-10 08:24:37 +0000,2023-06-10 08:24:37 +0000,71
2023-06-10 08:32:17 +0000,2023-06-10 08:32:17 +0000,73
2023-06-10 08:38:27 +0000,2023-06-10 08:38:27 +0000,71
2023-06-10 08:40:16 +0000,2023-06-10 08:40:16 +0000,67
2023-06-10 08:48:01 +0000,2023-06-10 08:48:01 +0000,68
2023-06-10 08:51:00 +0000,2023-06-10 08:51:00 +0000,64
2023-06-10 08:55:54 +0000,2023-06-10 08:55:54 +0000,78
2023-06-10 09:01:55 +0000,2023-06-10 09:01:55 +0000,75
2023-06-10 09:03:37 +0000,2023-06-10 09:03:37 +0000,85
2023-06-10 09:03:42 +0000,2023-06-10 09:03:42 +0000,82
2023-06-10 09:03:47 +0000,2023-06-10 09:03:47 +0000,82
2023-06-10 09:03:49 +0000,2023-06-10 09:03:49 +0000,82
2023-06-10 09:03:53 +0000,2023-06-10 09:03:53 +0000,80
2023-06-10 09:04:02 +0000,2023-06-10 09:04:02 +0000,78
2023-06-10 09:04:03 +0000,2023-06-10 09:04:03 +0000,78
2023-06-10 09:04:08 +0000,2023-06-10 09:04:08 +0000,77
2023-06-10 09:04:17 +0000,2023-06-10 09:04:17 +0000,82
2023-06-10 09:04:19 +0000,2023-06-10 09:04:19 +0000,82
2023-06-10 09:04:23 +0000,2023-06-10 09:04:23 +0000,88
2023-06-10 09:04:29 +0000,2023-06-10 09:04:29 +0000,97
2023-06-10 09:04:37 +0000,2023-06-10 09:04:37 +0000,98
2023-06-10 09:04:42 +0000,2023-06-10 09:04:42 +0000,102
2023-06-10 09:04:45 +0000,2023-06-10 09:04:45 +0000,102
2023-06-10 09:04:48 +0000,2023-06-10 09:04:48 +0000,103
2023-06-10 09:04:57 +0000,2023-06-10 09:04:57 +0000,96
2023-06-10 09:05:02 +0000,2023-06-10 09:05:02 +0000,97
2023-06-10 09:05:07 +0000,2023-06-10 09:05:07 +0000,105
2023-06-10 09:06:40 +0000,2023-06-10 09:06:40 +0000,68
2023-06-10 09:11:39 +0000,2023-06-10 09:11:39 +0000,92
2023-06-10 09:12:35 +0000,2023-06-10 09:12:35 +0000,71
2023-06-10 09:14:23 +0000,2023-06-10 09:14:23 +0000,58
2023-06-10 09:16:46 +0000,2023-06-10 09:16:46 +0000,72
2023-06-10 09:16:51 +0000,2023-06-10 09:16:51 +0000,74
2023-06-10 09:16:56 +0000,2023-06-10 09:16:56 +0000,76
2023-06-10 09:17:00 +0000,2023-06-10 09:17:00 +0000,76
