,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:23.078849500,1.1134949832683958,0.6375148300543712,-0.15703671364228047,0.14811597273595706,0.2050669278009498,-0.007284616634379928,78.5,0.0,1,0,0,0,0,-95.64836933507158,-27.48231498633939,-235.09765738559432,-0.21130286236857282,-0.14275348234915622,-0.4940757342591123,0.061502255694607134
2023-06-10 09:18:23.578849500,1.0873569858073862,0.7154649415092277,-0.13094243001566794,0.11949163215113971,0.07344795400640573,-0.3453957290126566,78.33333333333333,0.0,1,0,0,0,0,-93.78816599293525,-25.836695308466822,-235.47428508968656,-0.24577500691388243,-0.138039267472114,-0.4941375415711519,0.07462294583100747
2023-06-10 09:18:24.078849500,0.9947102679794743,0.7942365827429425,-0.13511800354948367,-0.30950777515151995,-0.18144055369847423,-0.48155536355771494,78.16666666666667,0.0,1,0,0,0,0,-94.96621887938272,-20.79448852551709,-235.59347212087118,-0.28525837008031396,-0.15419600286583574,-0.46291569829403106,0.08479947930417374
2023-06-10 09:18:24.578849500,0.9137974265145213,0.8114970822619144,-0.10210874490778366,-0.9843803747059439,-0.4004998828879553,-0.2577171139432344,78.0,0.0,1,0,0,0,0,-98.03826954084089,-14.232630849299635,-233.21999379552054,-0.32230978405371563,-0.1686406634024445,-0.4180667685090891,0.08278693295362434
2023-06-10 09:18:25.078849500,0.9218415331174666,0.7394196219864048,-0.02178805949829045,-1.422761970027113,-0.4447401298113151,0.10526419735364316,77.83333333333333,0.0,1,0,0,0,0,-100.15754945552638,-11.103082358376161,-226.55783940959537,-0.337167337609317,-0.159735786527831,-0.3938022808668792,0.06588709802253614
2023-06-10 09:18:25.578849500,1.00732748487308,0.6140849459393464,0.02538347217497963,-1.292003064168821,-0.31523192632074076,0.2257411496958749,77.66666666666667,0.0,1,0,0,0,0,-100.30297762074835,-13.584883198566626,-216.55176552061783,-0.3166243573355802,-0.13576150708129361,-0.40329737985547864,0.041599988720679076
2023-06-10 09:18:26.078849500,1.0730857529074427,0.5058148242672454,-0.025330623866522965,-0.7428362557266128,-0.1683950029585753,0.029149140842858346,77.5,0.0,1,0,0,0,0,-99.97920334623352,-17.844995143928816,-206.96038352005567,-0.2765829779752892,-0.12513400129816263,-0.42332039876622096,0.022419178974397574
2023-06-10 09:18:26.578849500,1.0482583971497812,0.4573438771294423,-0.13520212622767303,-0.24127124888798993,-0.150421139364624,-0.1828595121306297,77.33333333333333,0.0,1,0,0,0,0,-100.4945449570301,-18.851745747354045,-201.4285578420986,-0.24809752638890994,-0.1398151466685636,-0.42587629895678547,0.015381417741452416
2023-06-10 09:18:27.078849500,0.9722597882998115,0.45837264956413976,-0.21472041071967976,-0.08874645206849462,-0.20326608969961504,-0.18024222809154838,77.16666666666667,0.0,1,0,0,0,0,-101.09917177886346,-16.887868526052358,-200.23002686834198,-0.2426519048374965,-0.1613033635897984,-0.41340485939089666,0.017063674134999478
2023-06-10 09:18:27.578849500,0.9370608851152671,0.47766248014253576,-0.22735502168217928,-0.1605396451675505,-0.12743774363896407,-0.1129686119562529,77.0,0.0,1,0,0,0,0,-100.6017122422659,-16.406124750075453,-200.39037630153902,-0.2467988459409743,-0.16658462715502773,-0.4078598680451065,0.019191583570100194
2023-06-10 09:18:28.078849500,0.9650668784978158,0.5006602327381289,-0.20216321528321818,-0.15225196791573334,0.12524205438678299,-0.22074855942680624,77.0,0.0,1,0,0,0,0,-99.70995574918406,-19.005101772911903,-199.32588908895897,-0.24958020301737624,-0.15617944356690117,-0.4121995392785762,0.01848854966423963
2023-06-10 09:18:28.578849500,0.988678630193123,0.528495056986578,-0.170843469400394,-0.0022302131005440674,0.3318120412826204,-0.40597937055823996,77.0,0.0,1,0,0,0,0,-100.43481303885231,-20.929426403910927,-197.7116442158192,-0.2587479564043709,-0.1514811356697963,-0.40570627719372504,0.01595032096350412
