,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:41:54.578849500,0.38020906,0.8732831,0.3112619,-0.004001383,0.003923331,-0.011819114,,0.0,0,0,0,1,0,-132.60924,8.767714,-188.13884
2023-06-10 09:41:55.078849500,0.36701778,0.87073904,0.3203645,0.008795052,0.005113887,-0.010189569,,,0,0,0,1,0,-132.93225,8.629165,-187.72253
2023-06-10 09:41:55.578849500,0.37625548,0.87077487,0.31664306,0.015743084,-0.020650594,0.0117699355,,0.0,0,0,0,1,0,-132.63089,8.825436,-187.95778
2023-06-10 09:41:56.078849500,0.3787091,0.8724744,0.3061319,0.01990483,0.012014579,0.0021112727,,,0,0,0,1,0,-132.45024,8.893913,-188.23572
2023-06-10 09:41:56.578849500,0.37265077,0.87725985,0.313622,-0.064896345,0.042636618,-0.08808961,,0.0,0,0,0,1,0,-133.15607,8.419552,-187.55785
2023-06-10 09:41:57.078849500,0.2911905,0.8796509,0.36713836,-0.07407877,0.028176393,-0.1402157,,,0,0,0,1,0,-136.75932,6.412321,-185.96227
2023-06-10 09:41:57.578849500,0.2735556,0.88230836,0.37511992,0.03190059,0.0015398669,0.07014308,71.0,0.0,0,0,0,1,0,-137.72517,5.9688177,-185.78394
2023-06-10 09:41:58.078849500,0.3510761,0.87308925,0.3400256,0.13329093,0.051193226,0.2587942,,,0,0,0,1,0,-133.9581,8.059986,-187.31337
2023-06-10 09:41:58.578849500,0.42055175,0.85903686,0.3007907,0.046881355,-0.04398076,0.016656816,,0.0,0,0,0,1,0,-130.91139,10.392588,-189.47902
2023-06-10 09:41:59.078849500,0.41526276,0.85731995,0.2993347,-0.012389286,-0.0031631559,-0.0065727034,,,0,0,0,1,0,-130.79872,10.048825,-189.01344
2023-06-10 09:41:59.578849500,0.42070973,0.8572973,0.29803684,-0.01165379,-0.020051014,-0.00555994,,0.0,0,0,0,1,0,-130.53476,9.8857155,-189.1816
2023-06-10 09:42:00.078849500,0.4174457,0.8561444,0.30194488,0.0046823644,0.008137923,-0.021432642,,,0,0,0,1,0,-130.66652,9.640198,-189.05356
2023-06-10 09:42:00.578849500,0.39955536,0.86305726,0.31286773,-0.03455621,0.018497143,-0.054185122,,0.0,0,0,0,1,0,-131.54848,9.285766,-188.56517
2023-06-10 09:42:01.078849500,0.3814361,0.86577064,0.32075688,0.010246309,0.009465295,-0.001969381,,,0,0,0,1,0,-132.30978,9.296781,-188.60185
2023-06-10 09:42:01.578849500,0.38691682,0.8656256,0.31896728,-0.002802503,-0.022672256,-0.0069781053,,0.0,0,0,0,1,0,-132.22543,8.986018,-188.2917
2023-06-10 09:42:02.078849500,0.3865555,0.8651752,0.31921446,0.0032163758,0.0027251148,-0.0009961581,,,0,0,0,1,0,-132.2256,8.85834,-187.96477
2023-06-10 09:42:02.578849500,0.38678166,0.86482084,0.31960002,0.0042115496,0.00057479535,-0.0016679805,71.0,0.0,0,0,0,1,0,-132.11147,8.806815,-187.98
2023-06-10 09:42:03.078849500,0.38683593,0.865087,0.31993195,0.003503756,0.0021363557,-0.0014532817,,,0,0,0,1,0,-132.19876,8.832556,-188.06895
2023-06-10 09:42:03.578849500,0.38614777,0.86511594,0.32011962,0.0047632214,8.811803e-05,-0.0036266656,72.0,0.0,0,0,0,1,0,-132.03912,8.915083,-188.05157
2023-06-10 09:42:04.078849500,0.38641608,0.86494386,0.31975386,0.003112399,0.0033059842,-0.0033032678,,,0,0,0,1,0,-131.91623,8.91445,-187.92729
2023-06-10 09:42:04.578849500,0.38464415,0.8653171,0.32120025,0.0016370238,0.0025287939,-0.004351701,,0.0,0,0,0,1,0,-132.05452,8.777486,-187.7184
2023-06-10 09:42:05.078849500,0.3832553,0.8657513,0.321456,0.005335132,0.0025284812,-0.003309195,,,0,0,0,1,0,-132.29979,8.65937,-187.64056
2023-06-10 09:42:05.578849500,0.38467717,0.8653988,0.32013157,0.013265797,0.0030387468,0.008342219,,0.0,0,0,0,1,0,-132.15677,8.7742815,-187.89502
2023-06-10 09:42:06.078849500,0.38838807,0.8653982,0.3182846,0.0002742897,0.0013374714,-0.003594948,,,0,0,0,1,0,-132.08842,8.665455,-187.84436
2023-06-10 09:42:06.578849500,0.38841218,0.8647577,0.31721404,0.013502993,-0.00184775,0.0076688332,,0.0,0,0,0,1,0,-132.07661,8.618861,-187.78174
2023-06-10 09:42:07.078849500,0.39142033,0.8638555,0.31584418,0.005710632,0.0077647124,-0.0013100143,,,0,0,0,1,0,-131.99701,8.788034,-187.80014
