,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 10:23:51.078849500,0.006406996,-0.47030947,-0.8599494,-0.11833793,-0.14331032,-0.3338002,113.0,1,0,0,0,0,-118.80779,-66.30952,-247.2068
2023-06-10 10:23:52.078849500,0.06829224,-0.51492906,-0.89365906,0.046655323,-0.015726782,0.0683717,113.25,1,0,0,0,0,-114.13841,-67.08939,-246.04022
2023-06-10 10:23:53.078849500,0.10250238,-0.58296037,-0.8239852,0.1009851,0.10215979,0.13384731,113.5,1,0,0,0,0,-115.84707,-68.92005,-245.88918
2023-06-10 10:23:54.078849500,0.15356892,-0.29948595,-0.87396765,-0.72192574,0.18364939,0.19123986,113.75,1,0,0,0,0,-111.874954,-62.051983,-249.9023
2023-06-10 10:23:55.078849500,0.24386428,-0.17429885,-0.94885665,0.10604289,-0.18516278,-0.10551745,114.0,1,0,0,0,0,-109.45519,-58.190365,-253.24771
2023-06-10 10:23:56.078849500,0.17328066,-0.1501733,-1.0013424,0.00572822,-0.13170314,0.04248204,114.14285714285714,1,0,0,0,0,-111.198616,-56.198467,-255.8542
2023-06-10 10:23:57.078849500,0.026395084,-0.33502537,-0.99709374,0.4309143,0.228484,-0.027343776,114.28571428571429,1,0,0,0,0,-118.18897,-63.389267,-251.6324
2023-06-10 10:23:58.078849500,-0.0215979,-0.60895276,-0.75777143,0.039353155,-0.05112757,-0.0070387432,114.42857142857143,1,0,0,0,0,-122.451485,-72.936905,-240.81732
2023-06-10 10:23:59.078849500,-0.06267031,-0.5810655,-0.75703305,-0.16712521,-0.16712643,-0.041737758,114.57142857142857,1,0,0,0,0,-120.57738,-71.7798,-242.96846
2023-06-10 10:24:00.078849500,0.030572448,-0.43829578,-0.87942874,0.09844325,0.050507534,0.09611806,114.71428571428571,1,0,0,0,0,-119.36739,-68.68943,-248.81381
2023-06-10 10:24:01.078849500,0.04277069,-0.58924377,-0.8360147,0.080089845,-0.03150913,-0.026984679,114.85714285714286,1,0,0,0,0,-118.98324,-72.00391,-244.23817
2023-06-10 10:24:02.078849500,0.4870798,-0.51124,-0.7202861,0.18784948,1.1780871,-0.5059038,115.0,1,0,0,0,0,-108.154816,-68.322266,-237.69925
2023-06-10 10:24:03.078849500,1.0097736,0.11139594,0.0039797695,0.45375407,0.12546885,-0.61732125,115.33333333333333,1,0,0,0,0,-85.52041,-36.044304,-200.57968
2023-06-10 10:24:04.078849500,0.9740713,0.27541298,0.020470358,-0.11437133,-0.024389043,-0.24804707,115.66666666666667,1,0,0,0,0,-86.8347,-28.858814,-195.233
2023-06-10 10:24:05.078849500,0.97642165,0.33725572,-0.03065216,-0.05115038,-0.068271734,0.039874863,116.0,1,0,0,0,0,-84.69664,-31.219252,-200.50299
2023-06-10 10:24:06.078849500,0.9772709,0.42212036,-0.11998834,-0.07154333,-0.020809317,-0.019415608,115.57142857142857,1,0,0,0,0,-83.53922,-30.140774,-206.84206
2023-06-10 10:24:07.078849500,0.9992759,0.3791054,-0.20438655,-0.14688422,0.075678416,0.09674576,115.14285714285714,1,0,0,0,0,-83.199455,-34.720634,-212.53226
2023-06-10 10:24:08.078849500,1.0391045,0.49387208,-0.2046724,0.25001326,0.32142594,-0.14824064,114.71428571428571,1,0,0,0,0,-83.05009,-30.336761,-210.6635
2023-06-10 10:24:09.078849500,0.9244867,0.4981295,-0.17699316,0.15400949,0.4390307,0.13798566,114.28571428571429,1,0,0,0,0,-85.16567,-23.73457,-205.92908
2023-06-10 10:24:10.078849500,0.97407085,0.5666595,-0.09941779,0.15168422,0.19570014,0.10749351,113.85714285714286,1,0,0,0,0,-86.77206,-19.805096,-203.63809
