,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,acc_x_lof,acc_y_lof,acc_z_lof,gyr_x_lof,gyr_y_lof,gyr_z_lof,hr_bpm_lof,mag_x_lof,mag_y_lof,mag_z_lof,loc_speed_lof
2023-06-10 09:19:03.078849500,0.0711485,-0.33765867,-0.94372576,0.025050493,-0.06711075,-0.06154786,,-1.0,0,1,0,0,0,-138.74907,-40.408012,-252.72476,0.9888408177841868,0.9754621436509422,1.0415750009818419,1.0763261051603679,1.3383418179069257,1.5579737445461719,,0.915240109175403,1.0558721601360403,1.1050309533879292,1.0
2023-06-10 09:19:04.078849500,0.054050792,-0.36864403,-0.93251485,0.035526376,-0.020293197,-0.014862445,,,0,1,0,0,0,-139.29349,-41.548313,-252.12843,0.9840379110239709,0.9712024491441974,1.3603624708433435,1.402210023215334,0.964919144816805,0.9917046817160196,,1.0717526398652477,0.9417244120014108,1.2501138118480188,
2023-06-10 09:19:05.078849500,0.09214371,-0.33168212,-0.9436647,-0.11249438,0.091025844,0.024165945,,,0,1,0,0,0,-137.60829,-40.111187,-253.07826,1.5053949883632667,0.9121240191492013,0.9239508811964152,1.1406071284081012,1.0275869689976833,0.9238187412870609,,0.9575568925203461,1.1023642467115216,1.0053950879204543,
2023-06-10 09:19:06.078849500,0.18262027,-0.29732707,-0.9312066,0.047530368,0.17995659,0.14350744,,-1.0,0,1,0,0,0,-135.31467,-38.784042,-254.0407,0.9520707029327371,1.1028803325226613,1.0435830891614568,2.0185895331627184,1.0193488703967895,1.0884005219774326,,0.9850422314451817,1.7781828929115169,1.470469940235022,1.0
2023-06-10 09:19:07.078849500,0.1540515,-0.31720403,-0.92995167,-0.14388865,0.13893932,0.6701364,100.0,,0,1,0,0,0,-129.50833,-36.218174,-256.4573,0.9238395363537923,1.0723225483772136,0.9217963537224347,0.9662010394644434,1.0505651547561226,0.983644985493001,1.0,1.0584986054656804,1.0612025425444453,0.972080452771334,
2023-06-10 09:19:08.078849500,0.23702408,-0.2351529,-0.96390915,-0.13338764,0.20728156,0.33770433,,,0,1,0,0,0,-122.172966,-29.091969,-257.49017,0.9989568479045479,1.5888356874469827,1.0094519852673762,0.955620791353063,1.824360700010787,0.9103907563447993,,1.3988837357504478,1.3320156422463632,1.103451473756961,
2023-06-10 09:19:09.078849500,0.18516834,-0.3471735,-0.90339154,0.0919279,-0.18270238,-0.14657865,,,0,1,0,0,0,-121.68185,-36.034027,-258.9351,1.4915033314923338,1.4217225572778052,0.980024017365041,0.9692623133532312,1.0222689005944952,1.2012386272373956,,1.3022534070913152,0.9644743987283252,0.9208377770177316,
2023-06-10 09:19:10.078849500,0.12682272,-0.281795,-0.9658163,-0.20938745,0.30188537,0.58772695,,,0,1,0,0,0,-121.582115,-33.46399,-259.90692,1.0051440902536162,0.9052520885936639,1.009938846510092,0.92427486089521,0.9527410363589094,1.0244259173802288,,0.9407283154683153,1.4465197673690267,1.0151201952537336,
2023-06-10 09:19:11.078849500,0.3033614,-0.24402781,-0.9132364,0.060164828,0.01727401,-0.04239525,,,0,1,0,0,0,-110.622406,-35.432972,-256.3279,0.919194206634633,1.0845303472968375,1.1263896982221717,1.0755476809216626,1.0915996565918387,0.9898846216451946,,0.8765739926112056,1.0480299971771907,1.366005025735072,
2023-06-10 09:19:12.078849500,0.19857208,-0.29556856,-0.93429154,0.20736286,-0.37954363,-0.5220096,98.0,-1.0,0,1,0,0,0,-119.38407,-37.606743,-257.57312,1.6650993369731792,0.947191774085135,1.0136070429335389,0.9577108823051091,1.0388164634362869,0.966573562017074,1.0,1.0937421395054323,1.589639494215565,1.1266048931980586,1.0
2023-06-10 09:19:13.078849500,0.13042535,-0.28706467,-0.9527195,-0.12649547,0.11585837,0.20029034,98.0,,0,1,0,0,0,-122.00616,-36.726593,-257.59775,0.9225927669153294,1.06606337830399,0.9522254172484911,1.3171355048512505,0.9912251451713521,1.0008475028239623,1.0,1.0116950923591932,1.0408315644916348,1.1632157644123091,
2023-06-10 09:19:14.078849500,0.13347772,-0.2397441,-0.9693383,0.072754234,-0.06652626,-0.1229616,,,0,1,0,0,0,-123.59183,-34.926052,-257.61563,0.9476807891721952,1.1049371074278553,1.0650831321497374,0.9819858377010835,0.9770630951196562,0.9841034087061835,,1.7145202117690106,2.2058243414400116,0.9689364743951254,
2023-06-10 09:19:15.078849500,0.078080595,-0.26237914,-0.9638527,-0.017539052,-0.046245743,0.07881845,,,0,1,0,0,0,-125.5968,-35.31045,-257.77667,0.999629496745503,1.6285880284039012,0.9029796983725137,1.2102185481495737,1.1259815574349283,1.2493610259489711,,0.9303783156772523,0.9585568317145995,0.9820019879411537,
