,bpm,time
514,98.0,1686206492000000000
515,97.0,1686206493000000000
516,105.0,1686206549000000000
517,105.0,1686206553000000000
518,104.0,1686206560000000000
519,90.0,1686206566000000000
520,90.0,1686206567000000000
521,91.0,1686206572000000000
522,90.0,1686206581000000000
523,65.0,1686206872000000000
524,63.0,1686207020000000000
525,63.0,1686207303000000000
526,67.0,1686207733000000000
527,63.0,1686208019000000000
528,63.0,1686208284000000000
529,67.0,1686208410000000000
530,63.0,1686208818000000000
531,61.0,1686209034000000000
532,61.0,1686209466000000000
533,57.0,1686209874000000000
534,56.0,1686210158000000000
535,58.0,1686210351000000000
536,57.0,1686210715000000000
537,64.0,1686210914000000000
538,66.0,1686211122000000000
539,58.0,1686211414000000000
540,53.0,1686211874000000000
541,57.0,1686212287000000000
542,60.0,1686212542000000000
543,58.0,1686212825000000000
544,57.0,1686212918000000000
545,57.0,1686213320000000000
546,56.0,1686213803000000000
547,52.0,1686213869000000000
548,68.0,1686214161000000000
549,99.0,1686214474000000000
550,93.0,1686214477000000000
551,91.0,1686214482000000000
552,90.0,1686214489000000000
553,91.0,1686214490000000000
554,92.0,1686214499000000000
555,93.0,1686214504000000000
556,92.0,1686214506000000000
557,96.0,1686214512000000000
558,95.0,1686214519000000000
559,95.0,1686214523000000000
560,70.0,1686214709000000000
561,69.0,1686214713000000000
562,70.0,1686214715000000000
563,51.0,1686214895000000000
564,54.0,1686215195000000000
565,53.0,1686215462000000000
566,54.0852508544922,1686215560000000000
567,55.0,1686215880000000000
568,73.0,1686216065000000000
569,59.0,1686216458000000000
570,60.0,1686216593000000000
571,62.0,1686216817000000000
572,61.0,1686217267000000000
573,61.0,1686217657000000000
574,63.0,1686217906000000000
575,56.0,1686217911000000000
576,55.0,1686217916000000000
577,55.0,1686217918000000000
578,56.0,1686217926000000000
579,54.0,1686217931000000000
580,54.0,1686217948000000000
581,63.0,1686218134000000000
582,54.0,1686218191000000000
583,52.0,1686218196000000000
584,52.0,1686218201000000000
585,53.0,1686218202000000000
586,54.0,1686218207000000000
587,56.0,1686218236000000000
588,57.0,1686218241000000000
589,57.0,1686218246000000000
590,56.0,1686218251000000000
591,56.0,1686218253000000000
592,57.0,1686218257000000000
593,63.0,1686218266000000000
594,60.0,1686218271000000000
595,57.0,1686218276000000000
596,57.0,1686218278000000000
597,58.0,1686218282000000000
598,59.0,1686218291000000000
599,55.0,1686218296000000000
600,52.0,1686218301000000000
601,51.0,1686218306000000000
602,51.0,1686218324000000000
603,56.0,1686218422000000000
604,55.0,1686218427000000000
605,55.0,1686218432000000000
606,55.0,1686218437000000000
607,54.0,1686218439000000000
608,57.0,1686218443000000000
609,60.0,1686218449000000000
610,60.0,1686218453000000000
611,61.0,1686218462000000000
612,61.0,1686218467000000000
613,60.0,1686218472000000000
614,59.0,1686218477000000000
615,60.0,1686218482000000000
616,60.0,1686218484000000000
617,60.0,1686218492000000000
618,60.0,1686218497000000000
619,60.0,1686218500000000000
620,59.0,1686218507000000000
621,59.0,1686218508000000000
622,61.0,1686218516000000000
623,60.0,1686218520000000000
624,60.0,1686218523000000000
625,58.0,1686218532000000000
626,58.0,1686218535000000000
627,61.0,1686218538000000000
628,58.0,1686218547000000000
629,55.0,1686218552000000000
630,53.0,1686218557000000000
631,53.0,1686218561000000000
632,53.0,1686218566000000000
633,53.0,1686218569000000000
634,55.0,1686218573000000000
635,55.0,1686218578000000000
636,56.0,1686218583000000000
637,60.0,1686218589000000000
638,61.0,1686218593000000000
639,62.0,1686218602000000000
640,62.0,1686218606000000000
641,64.0,1686218612000000000
642,61.0,1686218615000000000
643,60.0,1686218620000000000
644,61.0,1686218623000000000
645,59.0,1686218632000000000
646,59.0,1686218637000000000
647,58.0,1686218642000000000
648,58.0,1686218647000000000
649,58.0,1686218652000000000
650,58.0,1686218656000000000
651,58.0,1686218658000000000
652,56.0,1686218667000000000
653,56.0,1686218670000000000
654,56.0,1686218674000000000
655,55.0,1686218678000000000
656,56.0,1686218683000000000
657,60.0,1686218692000000000
658,60.0,1686218697000000000
659,59.0,1686218701000000000
660,57.0,1686218706000000000
661,55.0,1686218712000000000
662,55.0,1686218713000000000
663,55.0,1686218718000000000
664,56.0,1686218726000000000
665,55.0,1686218732000000000
666,54.0,1686218736000000000
667,54.0,1686218738000000000
668,62.0,1686218743000000000
669,71.0,1686218752000000000
670,74.0,1686218757000000000
671,75.0,1686218758000000000
672,63.0,1686218767000000000
673,63.0,1686218769000000000
674,62.0,1686218773000000000
675,60.0,1686218781000000000
676,61.0,1686218787000000000
677,61.0,1686218789000000000
678,62.0,1686218793000000000
679,65.0,1686218802000000000
680,65.0,1686218805000000000
681,64.0,1686218812000000000
682,61.0,1686218832000000000
683,63.0,1686218913000000000
684,73.0,1686219247000000000
685,76.0,1686219527000000000
686,76.0,1686219532000000000
687,73.0,1686219537000000000
688,74.0,1686219541000000000
689,75.0,1686219543000000000
690,76.0,1686219550000000000
691,64.0,1686219557000000000
692,59.0,1686219562000000000
693,58.0,1686219565000000000
694,62.0,1686219568000000000
695,66.0,1686219576000000000
696,67.0,1686219579000000000
697,70.0,1686219583000000000
698,73.0,1686219588000000000
699,75.0,1686219593000000000
700,78.0,1686219598000000000
701,72.0,1686219617000000000
702,70.0,1686219621000000000
703,67.0,1686219627000000000
704,65.0,1686219632000000000
705,65.0,1686219634000000000
706,65.0,1686219638000000000
707,69.0,1686219736000000000
708,66.0,1686219866000000000
709,108.0,1686220038000000000
710,105.0,1686220042000000000
711,103.0,1686220045000000000
712,102.0,1686220049000000000
713,100.0,1686220054000000000
714,97.0,1686220063000000000
715,94.0,1686220068000000000
716,94.0,1686220069000000000
717,94.0,1686220078000000000
718,87.0,1686220356000000000
719,64.0,1686220525000000000
720,107.0,1686220679000000000
721,106.0,1686220680000000000
722,101.0,1686220689000000000
723,101.0,1686220691000000000
724,103.0,1686220695000000000
725,105.0,1686220700000000000
726,106.0,1686220706000000000
727,108.0,1686220713000000000
728,110.0,1686220719000000000
