,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:50:50.078849500,0.58359635,0.6974325,0.24450092,0.10453262,-0.49829918,-0.12299372,,,1,0,0,0,0,-92.23228,-21.293472,-202.94835
2023-06-10 09:50:50.578849500,0.64008665,0.80005246,0.13757843,-1.336859,-1.5550436,-0.34034052,,0.39739734,1,0,0,0,0,-92.29999000000001,-15.252023999999999,-217.0363
2023-06-10 09:50:51.078849500,0.5571204000000001,0.6819504,0.3801364,-0.8496037000000001,-0.8994707000000001,-0.4791312,,,1,0,0,0,0,-97.20399,-8.613531,-221.65377999999998
2023-06-10 09:50:51.578849500,0.670365,0.7535776999999999,0.05161924,-0.09807941,-0.9975878,-0.26409915,79.0,0.523054,1,0,0,0,0,-104.61416,-4.924212000000001,-232.33507999999998
2023-06-10 09:50:52.078849500,0.77106535,0.7239145,0.04122284,0.351105,1.5498673,1.0506356000000001,,,1,0,0,0,0,-104.99861000000001,-4.974653,-229.88211
2023-06-10 09:50:52.578849500,0.65797365,0.785986,0.036650695,2.071289,1.080083,0.3504653,,0.42221266,1,0,0,0,0,-93.455536,-14.590201,-225.24854
2023-06-10 09:50:53.078849500,0.68811846,0.73426384,-0.019534675,0.13118708,-0.17538288,-0.013192081000000001,,,1,0,0,0,0,-90.71768,-20.124565,-227.54259
2023-06-10 09:50:53.578849500,0.669982,0.7384479,-0.027743226,-0.0024876853,-0.066794254,0.035326134,,0.22286946,1,0,0,0,0,-91.79420999999999,-19.859295,-230.43336000000002
2023-06-10 09:50:54.078849500,0.7112784000000001,0.6912335000000001,-0.05283203,-0.2002421,-0.27650154,0.1308494,,,1,0,0,0,0,-91.85825,-20.584698,-232.00887000000003
2023-06-10 09:50:54.578849500,0.7861923000000001,0.7515111999999999,0.043575987000000004,-1.2580969,-0.74558747,-0.05651602,,0.12674764,1,0,0,0,0,-97.611664,-14.335360000000001,-238.0113
2023-06-10 09:50:55.078849500,0.674693,0.6662677,0.30674470000000004,-0.06880029,0.44983190000000006,0.37137648,,,1,0,0,0,0,-94.7902,-9.4430275,-227.73207000000002
